CHARTER,CITYST,STATE,STATEGDP,COST,FAILDATE,NAME,ASSET,DEPOSIT,state_latitude,state_longitude
N,"MIAMI, FL",Florida,689974,101748,1/11/2002,"HAMILTON BANK, NATIONAL ASSOCIATION",1409496,1298731,27.994402,-81.760254
NM,"UNIVERSITY PLACE, WA",Washington,410874,22860,1/11/2013,WESTSIDE COMMUNITY BANK,91935,91879,47.400902,-121.490494
NM,"PENNSVILLE, NJ",New Jersey,537579,22158,1/13/2017,HARVEST COMMUNITY BANK,124223,122177,40.298904,-74.521011
NM,"CARLISLE, IA",Iowa,121924,11574,1/14/2000,HARTFORD-CARLISLE SB,105044,68549,42.011539,-93.210526
NM,"BRUNSWICK, GA",Georgia,441627,84066,1/14/2011,OGLETHORPE BANK,211149,201369,33.040619,-83.643074
SM,"KAYSVILLE, UT",Utah,123902,107233,1/15/2010,BARNES BANKING COMPANY,709171,697109,40.150032,-111.862434
NM,"ST. STEPHEN, MN",Minnesota,287140,7707,1/15/2010,ST. STEPHEN STATE BANK,22895,23912,45.694454,-93.900192
NM,"ANTIOCH, IL",Illinois,698180,23289,1/15/2010,TOWN COMMUNITY BANK AND TRUST,70758,68323,40.349457,-88.986137
N,"CHARLOTTE, NC",North Carolina,431955,,1/16/2009,BANK OF AMERICA N.A.,1471631047,954677580,35.630066,-79.806419
N,"BERKELEY, IL",Illinois,688161,80488,1/16/2009,NATIONAL BANK OF COMMERCE,419741,395868,40.349457,-88.986137
N,"SAN FRANCISCO, CA",California,1995440,,1/16/2009,BANK OF AMERICA CALIFORNIA N.A.,21502223,500,36.116203,-119.681564
NM,"SALT LAKE CITY, UT",Utah,121431,,1/16/2009,MERRILL LYNCH BANK USA,61809503,53620324,40.150032,-111.862434
SB,"ALEXANDRIA, VA",Virginia,427649,,1/16/2009,COUNTRYWIDE BANK FSB,117978966,43663251,37.769337,-78.169968
N,"WILMINGTON, DE",Delaware,61518,,1/16/2009,FIA CARD SERVICES N.A.,159637136,9816599,39.318523,-75.507141
SB,"NEW YORK, NY",New York,1230672,,1/16/2009,MERRILL LYNCH BANK & TRUST CO FSB,37986413,28539028,42.165726,-74.948051
NM,"VANCOUVER, WA",Washington,370137,150783,1/16/2009,BANK OF CLARK COUNTY,441085,377506,47.400902,-121.490494
N,"PORTLAND, OR",Oregon,165527,,1/16/2009,BANK OF AMERICA OREGON N.A.,11526309,500,44.572021,-122.070938
N,"PROVIDENCE, RI",Rhode Island,50004,,1/16/2009,BANK OF AMERICA RHODE ISLAND N.A.,35410586,500,41.680893,-71.51178
N,"CRESTVIEW, FL",Florida,852242,6329,1/16/2015,FIRST NATIONAL BANK OF CRESTVIEW,73804,73199,27.994402,-81.760254
N,"WEST CHICAGO, IL",Illinois,741194,1530,1/17/2014,DUPAGE NATIONAL BANK,53524,51878,40.349457,-88.986137
NM,"SIERRA BLANCA, TX",Texas,1043567,4574,1/18/2002,BANK OF SIERRA BLANCA,10764,9914,31.054487,-97.563461
NM,"ANDOVER, MN",Minnesota,305486,12229,1/18/2013,1ST REGENTS BANK,49626,49147,45.694454,-93.900192
NM,"STOCKBRIDGE, GA",Georgia,447765,192145,1/20/2012,THE FIRST STATE BANK,516760,509065,33.040619,-83.643074
SB,"BOOTHWYN, PA",Pennsylvania,647926,4671,1/20/2012,AMERICAN EAGLE SAVINGS BANK,19259,17548,40.590752,-77.209755
NM,"BELLEVIEW, FL",Florida,778545,13697,1/20/2012,CENTRAL FLORIDA STATE BANK,71485,71080,27.994402,-81.760254
NM,"MCDONOUGH, GA",Georgia,441627,43538,1/21/2011,ENTERPRISE BANKING COMPANY,99461,94591,33.040619,-83.643074
SL,"DENVER, CO",Colorado,271701,137544,1/21/2011,UNITED WESTERN BANK,2153690,1535194,39.059811,-105.311104
NM,"ASHEVILLE, NC",North Carolina,443289,43945,1/21/2011,THE BANK OF ASHEVILLE,204925,199394,35.630066,-79.806419
NM,"EASLEY, SC",South Carolina,176083,45189,1/21/2011,COMMUNITYSOUTH BANK AND TRUST,340986,314250,33.856892,-80.945007
NM,"LEETON, MO",Missouri,270733,7092,1/22/2010,BANK OF LEETON,20128,20335,38.456085,-92.288368
NM,"SEATTLE, WA",Washington,380990,43422,1/22/2010,EVERGREEN BANK,395980,340378,47.400902,-121.490494
NM,"THE DALLES, OR",Oregon,169234,54899,1/22/2010,COLUMBIA RIVER BANK,955112,908132,44.572021,-122.070938
SB,"SANTA FE, NM",New Mexico,87610,127197,1/22/2010,CHARTER BANK,1201922,859933,34.840515,-106.248482
NM,"MIAMI, FL",Florida,775040,84454,1/22/2010,PREMIER AMERICAN BANK,299225,285554,27.994402,-81.760254
NM,"REDLANDS, CA",California,1995440,136041,1/23/2009,1ST CENTENNIAL BANK,797959,678570,36.116203,-119.681564
NM,"CHICAGO, IL",Illinois,751755,4743,1/23/2015,HIGHLAND COMMUNITY BANK,54727,53453,40.349457,-88.986137
NM,"EL RENO, OK",Oklahoma,189360,93335,1/24/2014,THE  BANK OF UNION,317172,315843,35.565342,-96.928917
N,"KANSAS CITY, MO",Missouri,273436,7157,1/25/2008,DOUGLASS NATIONAL BANK,52824,50250,38.456085,-92.288368
NM,"JACKSONVILLE, FL",Florida,778545,54383,1/27/2012,FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE,397082,378309,27.994402,-81.760254
SM,"KNOXVILLE, TN",Tennessee,286342,74064,1/27/2012,BANKEAST,261947,259571,35.747845,-86.692345
NM,"FOREST LAKE, MN",Minnesota,298328,35346,1/27/2012,PATRIOT BANK MINNESOTA,105029,102833,45.694454,-93.900192
NM,"FRANKLIN, TN",Tennessee,286342,351815,1/27/2012,TENNESSEE COMMERCE BANK,1009154,1037716,35.747845,-86.692345
NM,"CHICAGO, IL",Illinois,753027,43838,1/27/2017,SEAWAY BANK AND TRUST COMPANY,297809,256505,40.349457,-88.986137
NM,"CAMARGO, OK",Oklahoma,166327,33590,1/28/2011,THE FIRST STATE BANK,44546,41204,35.565342,-96.928917
NM,"STOUGHTON, WI",Wisconsin,272813,28060,1/28/2011,EVERGREEN STATE BANK,240949,193694,44.268543,-89.616508
SM,"TAOS, NM",New Mexico,87593,230712,1/28/2011,FIRST COMMUNITY BANK,2188154,1847851,34.840515,-106.248482
NM,"LOUISVILLE, CO",Colorado,271701,233564,1/28/2011,FIRSTIER BANK,764090,718797,39.059811,-105.311104
NM,"IMMOKALEE, FL",Florida,775040,308984,1/29/2010,FLORIDA COMMUNITY BANK,835701,776556,27.994402,-81.760254
NM,"CORNELIA, GA",Georgia,433727,477153,1/29/2010,COMMUNITY BANK & TRUST,1181717,1067957,33.040619,-83.643074
N,"HALLOCK, MN",Minnesota,287140,1063,1/29/2010,"MARSHALL BANK, NATIONAL ASSOCIATION",58566,55662,45.694454,-93.900192
N,"CARROLLTON, GA",Georgia,433727,203881,1/29/2010,FIRST NATIONAL BANK OF GEORGIA,840633,780196,33.040619,-83.643074
NM,"BAINBRIDGE ISLAND, WA",Washington,380990,28352,1/29/2010,AMERICAN MARINE BANK,329246,287443,47.400902,-121.490494
NM,"LOS ANGELES, CA",California,2036015,224134,1/29/2010,FIRST REGIONAL BANK,2082684,1664450,36.116203,-119.681564
N,"OCALA, FL",Florida,769061,93552,1/30/2009,OCALA NATIONAL BANK,219424,204663,27.994402,-81.760254
SB,"CROFTON, MD",Maryland,311342,73819,1/30/2009,SUBURBAN FEDERAL SAVINGS BANK,347408,301847,39.063946,-76.802101
NM,"SALT LAKE CITY, UT",Utah,121431,170125,1/30/2009,MAGNET BANK,300674,282578,40.150032,-111.862434
NM,"BOISE, ID",Idaho,62454,3487,1/31/2014,SYRINGA BANK,153361,145813,44.240459,-114.478828
SM,"ORLANDO, FL",Florida,772021,88904,1/7/2011,FIRST COMMERCIAL BANK OF FLORIDA,578638,537223,27.994402,-81.760254
NM,"SCOTTSDALE, AZ",Arizona,266102,32224,1/7/2011,LEGACY BANK,136446,119685,33.729759,-111.431221
NM,"BELLINGHAM, WA",Washington,380990,205488,1/8/2010,HORIZON BANK,1188956,1049063,47.400902,-121.490494
NM,"CRAWFORDVILLE, FL",Florida,775040,119933,10/1/2010,WAKULLA BANK,402205,367228,27.994402,-81.760254
NM,"SHORELINE, WA",Washington,380990,23478,10/1/2010,SHORELINE BANK,92980,90644,47.400902,-121.490494
NM,"ELDRED, IL",Illinois,706617,16618,10/10/2008,MERIDIAN BANK,38223,36090,40.349457,-88.986137
NM,"NORTHVILLE, MI",Michigan,420974,56318,10/10/2008,MAIN STREET BANK,112368,98934,43.326618,-84.536095
NM,"HONOLULU, HI",Hawaii,55891,400,10/13/2000,BANK OF HONOLULU,63890,59037,21.094318,-157.498337
NM,"ARGONIA, KS",Kansas,155515,280,10/13/2017,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,33012,27466,38.5266,-96.726486
SI,"ASHEVILLE, NC",North Carolina,443289,44112,10/14/2011,"BLUE RIDGE SAVINGS BANK, INC.",161430,159628,35.630066,-79.806419
NM,"ALEDO, IL",Illinois,711283,69305,10/14/2011,COUNTRY BANK,195034,180835,40.349457,-88.986137
NM,"GRAY, GA",Georgia,441627,88194,10/14/2011,PIEDMONT COMMUNITY BANK,198993,178773,33.040619,-83.643074
NM,"CRANFORD, NJ",New Jersey,507604,45629,10/14/2011,FIRST STATE BANK,191852,188099,40.298904,-74.521011
SB,"OLATHE, KS",Kansas,135723,53100,10/15/2010,"SECURITY SAVINGS BANK, F.S.B.",453349,347080,38.5266,-96.726486
NM,"JEFFERSON CITY, MO",Missouri,270733,308803,10/15/2010,PREMIER BANK,989382,869367,38.456085,-92.288368
NM,"CHESTERFIELD, MO",Missouri,270733,22436,10/15/2010,WESTBRIDGE BANK AND TRUST COMPANY,87782,70131,38.456085,-92.288368
SM,"BAKERSFIELD, CA",California,1995440,79080,10/16/2009,SAN JOAQUIN BANK,766359,626359,36.116203,-119.681564
NM,"FORT WALTON BEACH, FL",Florida,950164,7247,10/16/2020,FIRST CITY BANK OF FLORIDA,136566,133936,27.994402,-81.760254
SM,"RISING SUN, MD",Maryland,339605,19837,10/17/2014,NBRS FINANCIAL BANK,155353,151559,39.063946,-76.802101
NM,"SEDALIA, MO",Missouri,271535,29582,10/19/2012,EXCEL BANK,186113,173670,38.456085,-92.288368
SB,"TAMARAC, FL",Florida,778545,12370,10/19/2012,FIRST EAST SIDE SAVINGS BANK,65686,64888,27.994402,-81.760254
NM,"DESTIN, FL",Florida,778545,40332,10/19/2012,GULFSOUTH PRIVATE BANK,139391,131579,27.994402,-81.760254
NM,"SPRING GROVE, MN",Minnesota,277494,18876,10/2/2009,JENNINGS STATE BANK,52347,50801,45.694454,-93.900192
SM,"WARREN, MI",Michigan,383140,217677,10/2/2009,WARREN BANK,504816,467767,43.326618,-84.536095
N,"PUEBLO, CO",Colorado,264966,8323,10/2/2009,SOUTHERN COLORADO NATIONAL BANK,37142,29568,39.059811,-105.311104
N,"LONGVIEW, WA",Washington,441952,995,10/2/2015,HOMETOWN NATIONAL BANK,3785,3705,47.400902,-121.490494
NM,"PEACHTREE CITY, GA",Georgia,489182,27760,10/2/2015,THE BANK OF GEORGIA,286102,264234,33.040619,-83.643074
SM,"GREENWOOD VILLAGE, CO",Colorado,271701,169247,10/21/2011,COMMUNITY BANKS OF COLORADO,1280964,1239630,39.059811,-105.311104
NM,"DECATUR, GA",Georgia,441627,24568,10/21/2011,DECATUR FIRST BANK,184750,172042,33.040619,-83.643074
NM,"JONESBORO, GA",Georgia,441627,64965,10/21/2011,COMMUNITY CAPITAL BANK,165291,157808,33.040619,-83.643074
NM,"CLEARWATER, FL",Florida,772021,26299,10/21/2011,OLD HARBOR BANK,209048,212184,27.994402,-81.760254
N,"BARNESVILLE, GA",Georgia,433727,46897,10/22/2010,THE FIRST NATIONAL BANK OF BARNESVILLE,126622,122880,33.040619,-83.643074
N,"MAYWOOD, IL",Illinois,698180,44303,10/22/2010,FIRST SUBURBAN NATIONAL BANK,143451,135475,40.349457,-88.986137
NM,"OVERLAND PARK, KS",Kansas,135723,275262,10/22/2010,HILLCREST BANK,1583611,1488785,38.5266,-96.726486
NM,"JACKSONVILLE, FL",Florida,775040,14277,10/22/2010,FIRST BANK OF JACKSONVILLE,73922,72198,27.994402,-81.760254
SM,"TAMPA, FL",Florida,775040,34562,10/22/2010,PROGRESS BANK OF FLORIDA,94823,86861,27.994402,-81.760254
SB,"SCOTTSDALE, AZ",Arizona,260307,26776,10/22/2010,"FIRST ARIZONA SAVINGS, A FSB",255920,190615,33.729759,-111.431221
NM,"GORDON, GA",Georgia,433727,10354,10/22/2010,THE GORDON BANK,29259,26867,33.040619,-83.643074
SM,"RACINE, WI",Wisconsin,258761,99463,10/23/2009,BANK OF ELMWOOD,327444,272782,44.268543,-89.616508
NM,"WESTMONT, IL",Illinois,688161,85319,10/23/2009,FIRST DUPAGE BANK,262093,253992,40.349457,-88.986137
N,"BRADENTON, FL",Florida,769061,62112,10/23/2009,FLAGSHIP NATIONAL BANK,177563,170118,27.994402,-81.760254
NM,"OSTEGO, MN",Minnesota,277494,23476,10/23/2009,RIVERVIEW COMMUNITY BANK,99057,75012,45.694454,-93.900192
NM,"LAWRENCEVILLE, GA",Georgia,428741,44018,10/23/2009,AMERICAN UNITED BANK,110094,102386,33.040619,-83.643074
SB,"NAPLES, FL",Florida,769061,31809,10/23/2009,PARTNERS BANK,65498,64798,27.994402,-81.760254
NM,"NAPLES, FL",Florida,769061,42976,10/23/2009,HILLCREST BANK FLORIDA,82774,83254,27.994402,-81.760254
NM,"ALMENA, KS",Kansas,158348,15965,10/23/2020,ALMENA STATE BANK,65733,64941,38.5266,-96.726486
NM,"ALPHARETTA, GA",Georgia,445765,211264,10/24/2008,ALPHA BANK & TRUST,354090,344231,33.040619,-83.643074
N,"CHICAGO, IL",Illinois,741194,57658,10/24/2014,THE NATIONAL REPUBLIC BANK OF CHICAGO,843118,809638,40.349457,-88.986137
NM,"LOUISA, KY",Kentucky,192972,4264,10/25/2019,LOUISA COMMUNITY BANK,28163,25174,37.66814,-84.670067
SB,"MAUMEE, OH",Ohio,613251,1571,10/25/2019,RESOLUTE BANK,23292,22885,40.388783,-82.764915
SI,"BERWYN, PA",Pennsylvania,647926,85600,10/26/2012,NOVA BANK,444710,395248,40.590752,-77.209755
NM,"DES PLAINES, IL",Illinois,711283,13753,10/28/2011,ALL AMERICAN BANK,34800,30542,40.349457,-88.986137
N,"CHICAGO, IL",Illinois,688161,7471,10/30/2009,PARK NATIONAL BANK,4680881,3716626,40.349457,-88.986137
NM,"HOUSTON, TX",Texas,1277295,12000,10/30/2009,NORTH HOUSTON BANK,325474,307166,31.054487,-97.563461
N,"SAN DIEGO, CA",California,1995440,40579,10/30/2009,SAN DIEGO NATIONAL BANK,3594544,2891576,36.116203,-119.681564
N,"TEAGUE, TX",Texas,1277295,5846,10/30/2009,CITIZENS NATIONAL BANK,118236,97590,31.054487,-97.563461
N,"SAN FRANCISCO, CA",California,1995440,62599,10/30/2009,PACIFIC NATIONAL BANK,2319263,1757986,36.116203,-119.681564
N,"PHOENIX, AZ",Arizona,257499,11741,10/30/2009,"BANK USA, NA",213205,170685,33.729759,-111.431221
NM,"MADISONVILLE, TX",Texas,1277295,0,10/30/2009,MADISONVILLE STATE BANK,256330,224653,31.054487,-97.563461
N,"LOS ANGELES, CA",California,1995440,186591,10/30/2009,CALIFORNIA NATIONAL BANK,7781100,6145207,36.116203,-119.681564
NM,"LEMONT, IL",Illinois,688161,25945,10/30/2009,COMMUNITY BANK OF LEMONT,81843,80688,40.349457,-88.986137
NM,"GRACEVILLE, FL",Florida,794842,5849,10/30/2013,BANK OF JACKSON COUNTY,24724,24591,27.994402,-81.760254
NM,"BRADENTON, FL",Florida,816070,113456,10/31/2008,FREEDOM BANK,270842,256793,27.994402,-81.760254
NM,"LAKEVIEW, OH",Ohio,546729,28394,10/4/2007,MIAMI VALLEY BANK,125362,119601,40.388783,-82.764915
NM,"WYOMING, MN",Minnesota,293783,71176,10/7/2011,THE RIVERBANK,419723,384120,45.694454,-93.900192
NM,"ELLINGTON, MO",Missouri,268534,93109,10/7/2011,SUN SECURITY BANK,351492,280649,38.456085,-92.288368
N,"NEWARK, NJ",New Jersey,559649,1161,11/1/2019,CITY NATIONAL BANK OF NEW JERSEY,120574,111234,40.298904,-74.521011
NM,"ROCKMART, GA",Georgia,441627,20301,11/10/2011,COMMUNITY BANK OF ROCKMART,62383,55906,33.040619,-83.643074
NM,"VIDALIA, GA",Georgia,433727,125908,11/12/2010,DARBY BANK & TRUST COMPANY,654714,587626,33.040619,-83.643074
NM,"SCOTTSDALE, AZ",Arizona,260307,52561,11/12/2010,COPPER STAR BANK,203955,190182,33.729759,-111.431221
NM,"TIFTON, GA",Georgia,433727,21383,11/12/2010,TIFTON BANKING COMPANY,143729,141573,33.040619,-83.643074
SM,"NAPLES, FL",Florida,769061,713129,11/13/2009,ORION BANK,2612515,2169446,27.994402,-81.760254
SB,"SARASOTA, FL",Florida,769061,306877,11/13/2009,"CENTURY BANK, A FEDERAL SAVINGS BANK",755923,659742,27.994402,-81.760254
N,"SAN CLEMENTE, CA",California,1995440,33470,11/13/2009,PACIFIC COAST NATIONAL BANK,131418,128867,36.116203,-119.681564
SI,"PHILADELPHIA, PA",Pennsylvania,568242,679,11/14/2003,PULASKI SAVINGS BANK,8487,9058,40.590752,-77.209755
NM,"BRASELTON, GA",Georgia,447765,39665,11/16/2012,HOMETOWN COMMUNITYBANK,124561,108931,33.040619,-83.643074
NM,"JOHNSTON, IA",Iowa,152435,16053,11/18/2011,POLK COUNTY BANK,91580,81967,42.011539,-93.210526
NM,"LACOMBE, LA",Louisiana,234976,48824,11/18/2011,CENTRAL PROGRESSIVE BANK,383132,347720,31.169546,-91.867805
SM,"BURLINGTON, WI",Wisconsin,266831,86457,11/19/2010,FIRST BANKING CENTER,750724,664752,44.268543,-89.616508
NM,"CARRABELLE, FL",Florida,775040,44443,11/19/2010,GULF STATE COMMUNITY BANK,112144,112193,27.994402,-81.760254
NM,"BALA CYNWYD, PA",Pennsylvania,627726,12652,11/19/2010,ALLEGIANCE BANK OF NORTH AMERICA,106595,91996,40.590752,-77.209755
N,"PRINCETON, IL",Illinois,726399,32458,11/2/2012,CITIZENS FIRST NATIONAL BANK,923959,869440,40.349457,-88.986137
NM,"LUTZ, FL",Florida,778545,73811,11/2/2012,HERITAGE BANK OF FLORIDA,225477,223309,27.994402,-81.760254
NM,"FORT MYERS, FL",Florida,769061,32236,11/20/2009,COMMERCE BANK OF SOUTHWEST FLORIDA,70997,72821,27.994402,-81.760254
NM,"LOGANVILLE, GA",Georgia,445765,335062,11/21/2008,THE COMMUNITY BANK,634901,603733,33.040619,-83.643074
SB,"POMONA, CA",California,2061639,258807,11/21/2008,PFF BANK & TRUST,3715433,2393845,36.116203,-119.681564
SL,"NEWPORT BEACH, CA",California,2061639,151232,11/21/2008,"DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.",12779371,9653169,36.116203,-119.681564
N,"LAS VEGAS, NV",Nevada,139954,,11/23/2008,"CITIBANK, NATIONAL ASSOCIATION",1207007000,230042000,38.313515,-117.055374
SB,"WILMINGTON, DE",Delaware,58656,,11/23/2008,"CITICORP TRUST BANK, FSB",19599414,7231013,39.318523,-75.507141
NM,"CENTURY CITY, CA",California,2061639,,11/23/2008,CITIBANK (BANAMEX USA),1322720,876086,36.116203,-119.681564
N,"SIOUX FALLS, SD",South Dakota,39081,,11/23/2008,"CITIBANK (SOUTH DAKOTA), N.A.",77737957,42356986,44.299782,-99.438828
N,"SIOUX FALLS, SD",South Dakota,39081,,11/23/2008,DEPARTMENT STORES NATIONAL BANK,374903,300881,44.299782,-99.438828
NM,"SAC CITY, IA",Iowa,,14804,11/3/2023,CITIZENS BANK,60448,52311,42.011539,-93.210526
NM,"OMAHA, NE",Nebraska,102587,10944,11/4/2011,"MID CITY BANK, INC.",106075,105461,41.12537,-98.268082
NM,"SAINT GEORGE, UT",Utah,127993,43575,11/4/2011,SUNFIRST BANK,198081,169135,40.150032,-111.862434
NM,"RANDALLSTOWN, MD",Maryland,325370,136420,11/5/2010,K BANK,538258,500056,39.063946,-76.802101
SM,"TACOMA, WA",Washington,380990,26754,11/5/2010,PIERCE COMMERCIAL BANK,221082,193473,47.400902,-121.490494
NM,"WESTMINSTER, CA",California,2036015,14264,11/5/2010,FIRST VIETNAMESE AMERICAN BANK,48000,47012,36.116203,-119.681564
NM,"WOODLAND HILLS, CA",California,2036015,16943,11/5/2010,WESTERN COMMERCIAL BANK,98635,101127,36.116203,-119.681564
NM,"ST LOUIS, MO",Missouri,266835,11648,11/6/2009,GATEWAY BANK OF ST LOUIS,26882,27534,38.456085,-92.288368
NM,"SPARTA, GA",Georgia,428741,60895,11/6/2009,UNITED SECURITY BANK,153639,149616,33.040619,-83.643074
SB,"DETROIT, MI",Michigan,383140,8612,11/6/2009,HOME FEDERAL SAVINGS BANK,12994,12730,43.326618,-84.536095
NM,"SAN FRANCISCO, CA",California,1995440,582128,11/6/2009,UNITED COMMERCIAL BANK,10895336,7653666,36.116203,-119.681564
NM,"OAKDALE, MN",Minnesota,277494,31685,11/6/2009,PROSPERAN BANK,197442,182794,45.694454,-93.900192
NM,"SAN DIEGO, CA",California,2061639,148255,11/7/2008,SECURITY PACIFIC BANK,527959,456472,36.116203,-119.681564
SI,"HOUSTON, TX",Texas,1282089,614111,11/7/2008,"FRANKLIN BANK, SSB",5089260,3692887,31.054487,-97.563461
SB,"PALM DESERT, CA",California,2256055,2905,11/7/2014,"FRONTIER BANK, FSB",80736,76344,36.116203,-119.681564
NM,"ALAMO, TN",Tennessee,240972,9316,11/8/2002,BANK OF ALAMO,58454,52157,35.747845,-86.692345
SM,"FARMINGTON HILLS, MI",Michigan,404217,68586,12/10/2010,PARAMOUNT BANK,252744,213550,43.326618,-84.536095
NM,"SOUTHAMPTON, PA",Pennsylvania,627726,22495,12/10/2010,EARTHSTAR BANK,112643,104505,40.590752,-77.209755
SM,"OVERLAND PARK, KS",Kansas,134227,93393,12/11/2009,SOLUTIONSBANK,511103,421271,38.5266,-96.726486
N,"MIAMI, FL",Florida,769061,77977,12/11/2009,"REPUBLIC FEDERAL BANK, N.A.",433011,352695,27.994402,-81.760254
N,"MESA, AZ",Arizona,257499,15047,12/11/2009,"VALLEY CAPITAL BANK, N.A.",40270,41312,33.729759,-111.431221
NM,"SANDERSON, TX",Texas,1282089,7710,12/12/2008,SANDERSON STATE BANK,38217,32012,31.054487,-97.563461
NM,"DULUTH, GA",Georgia,445765,246603,12/12/2008,HAVEN TRUST BANK,559551,489692,33.040619,-83.643074
N,"THE WOODLANDS, TX",Texas,1484700,14203,12/13/2013,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",159257,142640,31.054487,-97.563461
N,"METROPOLIS, IL",Illinois,640723,2670,12/14/2000,NATIONAL STATE BANK OF METROPOLIS,90397,71277,40.349457,-88.986137
NM,"SUNRISE, MO",Missouri,271535,13419,12/14/2012,COMMUNITY BANK OF THE OZARKS,42816,41881,38.456085,-92.288368
SB,"CHICAGO, IL",Illinois,753027,75753,12/15/2017,WASHINGTON FEDERAL BANK FOR SAVINGS,166345,143964,40.349457,-88.986137
N,"PHOENIX, AZ",Arizona,266102,41735,12/16/2011,WESTERN NATIONAL BANK,162872,144491,33.729759,-111.431221
NM,"CRESTVIEW, FL",Florida,772021,25065,12/16/2011,PREMIER COMMUNITY BANK OF THE EMERALD COAST,125976,112050,27.994402,-81.760254
NM,"CHENEYVILLE, LA",Louisiana,213079,12205,12/17/2002,THE FARMERS BANK & TRUST OF CHENEYVILLE,35317,32103,31.169546,-91.867805
N,"CORAL GABLES, FL",Florida,775040,29054,12/17/2010,THE BANK OF MIAMI,448150,374218,27.994402,-81.760254
N,"LINO LAKES, MN",Minnesota,287140,5827,12/17/2010,COMMUNITY NATIONAL BANK,31569,28844,45.694454,-93.900192
NM,"DAWSONVILLE, GA",Georgia,433727,83075,12/17/2010,CHESTATEE STATE BANK,244376,240476,33.040619,-83.643074
N,"ATLANTA, GA",Georgia,433727,96415,12/17/2010,UNITED AMERICAS BANK,242339,193803,33.040619,-83.643074
NM,"BATESVILLE, AR",Arkansas,105662,24771,12/17/2010,FIRST SOUTHERN BANK,191764,155803,34.969704,-92.373123
SB,"MCCAYSVILLE, GA",Georgia,433727,28452,12/17/2010,"APPALACIAN COMMUNITY BANK, F.S.B.",68201,76360,33.040619,-83.643074
NM,"NEW BALTIMORE, MI",Michigan,383140,68417,12/18/2009,CITIZENS STATE BANK,168551,157149,43.326618,-84.536095
NM,"LA JOLLA, CA",California,1995440,271351,12/18/2009,IMPERIAL CAPITAL BANK,4046888,2822300,36.116203,-119.681564
SM,"SPRINGFIELD, IL",Illinois,688161,0,12/18/2009,INDEPENDENT BANKERS' BANK,585508,511473,40.349457,-88.986137
SB,"SANTA MONICA, CA",California,1995440,0,12/18/2009,"FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK",6143903,4538607,36.116203,-119.681564
SB,"PANAMA CITY, FL",Florida,769061,597058,12/18/2009,PEOPLES FIRST COMMUNITY BANK,1795420,1684443,27.994402,-81.760254
SB,"IRONDALE, AL",Alabama,180707,311641,12/18/2009,NEW SOUTH FEDERAL SAVINGS BANK,1464127,1163916,32.806671,-86.79113
